accuracy,auroc,elapsed_s,fn,fnr,fp,fpr,hard_neg_fpr,layer,n_seeds,overtrigger_fpr,probe_type,threshold,tn,tp,val_auroc,val_weighted_error,weighted_error
0.9523809523809523,1.0,33.23,2.0,0.11764705882352941,0.0,0.0,0.0,5,100,0.0,ema,0.7704493403434753,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,35.14,2.0,0.11764705882352941,0.0,0.0,0.0,5,100,0.0,linear,0.7704493403434753,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,106.83,2.0,0.11764705882352941,0.0,0.0,0.0,5,100,0.0,max_rolling_mean,0.9996817111968994,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,65.38,2.0,0.11764705882352941,0.0,0.0,0.0,5,100,0.0,mlp,0.9987857937812805,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,71.11,2.0,0.11764705882352941,0.0,0.0,0.0,5,100,0.0,multimax,0.9996962547302246,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,98.57,2.0,0.11764705882352941,0.0,0.0,0.0,6,100,0.0,attention,0.9998133778572083,25.0,15.0,1.0,0.0,0.5882352941176471
0.9761904761904762,1.0,35.43,1.0,0.058823529411764705,0.0,0.0,0.0,6,100,0.0,ema,0.809892475605011,25.0,16.0,1.0,0.0,0.29411764705882354
0.9761904761904762,1.0,30.03,1.0,0.058823529411764705,0.0,0.0,0.0,6,100,0.0,linear,0.809892475605011,25.0,16.0,1.0,0.0,0.29411764705882354
0.9523809523809523,1.0,114.6,2.0,0.11764705882352941,0.0,0.0,0.0,6,100,0.0,max_rolling_mean,0.9998133778572083,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,66.81,2.0,0.11764705882352941,0.0,0.0,0.0,6,100,0.0,mlp,0.9991195797920227,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,80.54,2.0,0.11764705882352941,0.0,0.0,0.0,6,100,0.0,multimax,0.999794065952301,25.0,15.0,1.0,0.0,0.5882352941176471
0.9761904761904762,1.0,85.7,1.0,0.058823529411764705,0.0,0.0,0.0,7,100,0.0,attention,0.9997518658638,25.0,16.0,1.0,0.0,0.29411764705882354
0.9761904761904762,1.0,36.23,1.0,0.058823529411764705,0.0,0.0,0.0,7,100,0.0,ema,0.8318756222724915,25.0,16.0,1.0,0.0,0.29411764705882354
0.9761904761904762,1.0,36.17,1.0,0.058823529411764705,0.0,0.0,0.0,7,100,0.0,linear,0.8318756222724915,25.0,16.0,1.0,0.0,0.29411764705882354
0.9761904761904762,1.0,108.11,1.0,0.058823529411764705,0.0,0.0,0.0,7,100,0.0,max_rolling_mean,0.9997518658638,25.0,16.0,1.0,0.0,0.29411764705882354
0.9761904761904762,1.0,58.41,1.0,0.058823529411764705,0.0,0.0,0.0,7,100,0.0,mlp,0.9991077780723572,25.0,16.0,1.0,0.0,0.29411764705882354
0.9761904761904762,1.0,79.92,1.0,0.058823529411764705,0.0,0.0,0.0,7,100,0.0,multimax,0.9997902512550354,25.0,16.0,1.0,0.0,0.29411764705882354
0.9761904761904762,1.0,92.43,1.0,0.058823529411764705,0.0,0.0,0.0,8,100,0.0,attention,0.9996961355209351,25.0,16.0,1.0,0.0,0.29411764705882354
0.9523809523809523,1.0,38.06,2.0,0.11764705882352941,0.0,0.0,0.0,8,100,0.0,ema,0.8400910496711731,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,38.11,2.0,0.11764705882352941,0.0,0.0,0.0,8,100,0.0,linear,0.8400910496711731,25.0,15.0,1.0,0.0,0.5882352941176471
0.9761904761904762,1.0,106.82,1.0,0.058823529411764705,0.0,0.0,0.0,8,100,0.0,max_rolling_mean,0.9996961355209351,25.0,16.0,1.0,0.0,0.29411764705882354
0.9761904761904762,1.0,58.14,1.0,0.058823529411764705,0.0,0.0,0.0,8,100,0.0,mlp,0.9989172220230103,25.0,16.0,1.0,0.0,0.29411764705882354
0.9761904761904762,1.0,74.15,1.0,0.058823529411764705,0.0,0.0,0.0,8,100,0.0,multimax,0.9997395873069763,25.0,16.0,1.0,0.0,0.29411764705882354
0.9761904761904762,1.0,90.5,1.0,0.058823529411764705,0.0,0.0,0.0,9,100,0.0,attention,0.9993435740470886,25.0,16.0,1.0,0.0,0.29411764705882354
0.9761904761904762,1.0,33.63,1.0,0.058823529411764705,0.0,0.0,0.0,9,100,0.0,ema,0.816135823726654,25.0,16.0,1.0,0.0,0.29411764705882354
0.9761904761904762,1.0,32.54,1.0,0.058823529411764705,0.0,0.0,0.0,9,100,0.0,linear,0.816135823726654,25.0,16.0,1.0,0.0,0.29411764705882354
0.9761904761904762,1.0,104.23,1.0,0.058823529411764705,0.0,0.0,0.0,9,100,0.0,max_rolling_mean,0.9993435740470886,25.0,16.0,1.0,0.0,0.29411764705882354
0.9761904761904762,1.0,63.79,1.0,0.058823529411764705,0.0,0.0,0.0,9,100,0.0,mlp,0.9980579018592834,25.0,16.0,1.0,0.0,0.29411764705882354
0.9761904761904762,1.0,68.39,1.0,0.058823529411764705,0.0,0.0,0.0,9,100,0.0,multimax,0.9993886947631836,25.0,16.0,1.0,0.0,0.29411764705882354
0.9523809523809523,1.0,84.79,2.0,0.11764705882352941,0.0,0.0,0.0,10,100,0.0,attention,0.999658465385437,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,33.07,2.0,0.11764705882352941,0.0,0.0,0.0,10,100,0.0,ema,0.8660533428192139,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,33.52,2.0,0.11764705882352941,0.0,0.0,0.0,10,100,0.0,linear,0.8660533428192139,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,99.89,2.0,0.11764705882352941,0.0,0.0,0.0,10,100,0.0,max_rolling_mean,0.999658465385437,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,58.98,2.0,0.11764705882352941,0.0,0.0,0.0,10,100,0.0,mlp,0.9988186955451965,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,75.35,2.0,0.11764705882352941,0.0,0.0,0.0,10,100,0.0,multimax,0.9997020363807678,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,87.21,2.0,0.11764705882352941,0.0,0.0,0.0,11,100,0.0,attention,0.9996241331100464,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,30.71,2.0,0.11764705882352941,0.0,0.0,0.0,11,100,0.0,ema,0.8550781011581421,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,31.11,2.0,0.11764705882352941,0.0,0.0,0.0,11,100,0.0,linear,0.8550781011581421,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,98.9,2.0,0.11764705882352941,0.0,0.0,0.0,11,100,0.0,max_rolling_mean,0.9996241331100464,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,57.52,2.0,0.11764705882352941,0.0,0.0,0.0,11,100,0.0,mlp,0.9987642765045166,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,68.74,2.0,0.11764705882352941,0.0,0.0,0.0,11,100,0.0,multimax,0.9996874332427979,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,89.06,2.0,0.11764705882352941,0.0,0.0,0.0,12,100,0.0,attention,0.9993174076080322,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,28.9,2.0,0.11764705882352941,0.0,0.0,0.0,12,100,0.0,ema,0.8578310608863831,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,31.17,2.0,0.11764705882352941,0.0,0.0,0.0,12,100,0.0,linear,0.8578310608863831,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,96.46,2.0,0.11764705882352941,0.0,0.0,0.0,12,100,0.0,max_rolling_mean,0.9993174076080322,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,61.57,2.0,0.11764705882352941,0.0,0.0,0.0,12,100,0.0,mlp,0.9981880784034729,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,67.6,2.0,0.11764705882352941,0.0,0.0,0.0,12,100,0.0,multimax,0.9993870258331299,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,86.73,2.0,0.11764705882352941,0.0,0.0,0.0,13,100,0.0,attention,0.9993014335632324,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,31.36,2.0,0.11764705882352941,0.0,0.0,0.0,13,100,0.0,ema,0.8733431696891785,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,31.17,2.0,0.11764705882352941,0.0,0.0,0.0,13,100,0.0,linear,0.8733431696891785,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,99.43,2.0,0.11764705882352941,0.0,0.0,0.0,13,100,0.0,max_rolling_mean,0.9993014335632324,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,60.23,2.0,0.11764705882352941,0.0,0.0,0.0,13,100,0.0,mlp,0.9981889128684998,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,71.07,2.0,0.11764705882352941,0.0,0.0,0.0,13,100,0.0,multimax,0.9992527365684509,25.0,15.0,1.0,0.0,0.5882352941176471
0.9285714285714286,1.0,87.21,3.0,0.17647058823529413,0.0,0.0,0.0,14,100,0.0,attention,0.999138355255127,25.0,14.0,1.0,0.0,0.8823529411764707
0.9523809523809523,1.0,30.67,2.0,0.11764705882352941,0.0,0.0,0.0,14,100,0.0,ema,0.8623955845832825,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,31.8,2.0,0.11764705882352941,0.0,0.0,0.0,14,100,0.0,linear,0.8623955845832825,25.0,15.0,1.0,0.0,0.5882352941176471
0.9285714285714286,1.0,99.72,3.0,0.17647058823529413,0.0,0.0,0.0,14,100,0.0,max_rolling_mean,0.999138355255127,25.0,14.0,1.0,0.0,0.8823529411764707
0.9285714285714286,1.0,60.36,3.0,0.17647058823529413,0.0,0.0,0.0,14,100,0.0,mlp,0.9978519678115845,25.0,14.0,1.0,0.0,0.8823529411764707
0.9285714285714286,1.0,71.8,3.0,0.17647058823529413,0.0,0.0,0.0,14,100,0.0,multimax,0.9992628693580627,25.0,14.0,1.0,0.0,0.8823529411764707
0.9523809523809523,1.0,86.12,2.0,0.11764705882352941,0.0,0.0,0.0,15,100,0.0,attention,0.9985398054122925,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,30.58,2.0,0.11764705882352941,0.0,0.0,0.0,15,100,0.0,ema,0.8467373847961426,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,31.57,2.0,0.11764705882352941,0.0,0.0,0.0,15,100,0.0,linear,0.8467373847961426,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,97.64,2.0,0.11764705882352941,0.0,0.0,0.0,15,100,0.0,max_rolling_mean,0.9985398054122925,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,57.84,2.0,0.11764705882352941,0.0,0.0,0.0,15,100,0.0,mlp,0.9964799284934998,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,71.41,2.0,0.11764705882352941,0.0,0.0,0.0,15,100,0.0,multimax,0.9985727071762085,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,91.25,2.0,0.11764705882352941,0.0,0.0,0.0,16,100,0.0,attention,0.9985735416412354,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,31.21,2.0,0.11764705882352941,0.0,0.0,0.0,16,100,0.0,ema,0.8393810391426086,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,32.26,2.0,0.11764705882352941,0.0,0.0,0.0,16,100,0.0,linear,0.8393810391426086,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,98.33,2.0,0.11764705882352941,0.0,0.0,0.0,16,100,0.0,max_rolling_mean,0.9985735416412354,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,62.38,2.0,0.11764705882352941,0.0,0.0,0.0,16,100,0.0,mlp,0.9963425993919373,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,68.29,2.0,0.11764705882352941,0.0,0.0,0.0,16,100,0.0,multimax,0.9986070990562439,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,87.68,2.0,0.11764705882352941,0.0,0.0,0.0,17,100,0.0,attention,0.9982410669326782,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,30.97,2.0,0.11764705882352941,0.0,0.0,0.0,17,100,0.0,ema,0.8280171155929565,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,31.06,2.0,0.11764705882352941,0.0,0.0,0.0,17,100,0.0,linear,0.8280171155929565,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,97.96,2.0,0.11764705882352941,0.0,0.0,0.0,17,100,0.0,max_rolling_mean,0.9982410669326782,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,62.95,2.0,0.11764705882352941,0.0,0.0,0.0,17,100,0.0,mlp,0.9951487183570862,25.0,15.0,1.0,0.0,0.5882352941176471
